giab_id	trio	relation	sex	dna_id	coriell_cell_line_id	ncbi_biosample_acc	ipsc_id	rm_number	coriell_desc	race	ethnicity	collection	pgp_id
HG001	NA12878	MOTHER	F	NA12878	GM12878	SAMN03492678	NA	RM8398	CEPH-UTAH	WHITE	UTAH-MORMON	APPARENLTY _HEALTHY	Not_PGP
HG002	ASHKENAZI_JEWISH	SON	M	NA24385	GM24385	SAMN03283347	GM26105 (from LCL), GM27730 (from PBMC)	RM8391_SON, RM8392_TRIO	PGP	WHITE	ASHKENAZI_JEWISH	PERSONAL_GENOME_PROJECT	huAA53E0
HG003	ASHKENAZI_JEWISH	FATHER	M	NA24149	GM24149	SAMN03283345	NA	RM8392_TRIO	PGP	WHITE	ASHKENAZI_JEWISH	PERSONAL_GENOME_PROJECT	hu6E4515
HG004	ASHKENAZI_JEWISH	MOTHER	F	NA24143	GM24143	SAMN03283346	GM26077	RM8392_TRIO	PGP	WHITE	ASHKENAZI_JEWISH	PERSONAL_GENOME_PROJECT	hu8E87A9
HG005	HAN_CHINESE	SON	M	NA24631	GM24631	SAMN03283350	GM26107	RM8393	PGP	ASIAN	CHINESE	PERSONAL_GENOME_PROJECT	hu91BD69
HG006	HAN_CHINESE	FATHER	M	NA24694	GM24694	SAMN03283348	NA	NA	PGP	ASIAN	CHINESE	PERSONAL_GENOME_PROJECT	huCA017E
HG007	HAN_CHINESE	MOTHER	F	NA24695	GM24695	SAMN03283349	NA	NA	PGP	ASIAN	CHINESE	PERSONAL_GENOME_PROJECT	hu38168C
